urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity
2026-04-01T10:00:00+05:30,100,54.85,100,105.49,100,31.58,100,69.67
2026-04-02T10:00:00+05:30,100,43.43,100,80.0,100,31.55,100,69.29
2026-04-03T10:00:00+05:30,100,36.54,100,84.64,100,30.21,100,68.28
2026-04-04T10:00:00+05:30,100,33.01,100,83.82,100,30.48,100,69.28
2026-04-05T10:00:00+05:30,100,33.54,100,83.85,100,30.69,100,70.09
2026-04-06T10:00:00+05:30,100,32.4,100,87.73,100,30.35,100,71.47
2026-04-07T10:00:00+05:30,100,50.38,100,133.59,100,32.04,100,70.95
2026-04-08T10:00:00+05:30,100,46.91,100,130.29,100,31.83,100,69.17
2026-04-09T10:00:00+05:30,100,29.82,100,91.08,100,31.31,100,69.51
2026-04-10T10:00:00+05:30,100,29.55,100,94.65,100,31.69,100,70.28
2026-04-11T10:00:00+05:30,100,35.41,100,92.01,100,32.38,100,69.07
2026-04-12T10:00:00+05:30,100,35.49,100,89.05,100,32.91,100,65.99
2026-04-13T10:00:00+05:30,100,38.62,100,87.31,100,33.49,100,65.68
2026-04-14T10:00:00+05:30,100,41.98,100,90.76,100,33.07,100,66.56
2026-04-15T10:00:00+05:30,100,42.27,100,83.06,100,32.74,100,66.48
2026-04-16T10:00:00+05:30,100,48.17,100,78.7,100,33.38,100,67.67
2026-04-17T10:00:00+05:30,100,50.9,100,76.53,100,33.78,100,68.94
2026-04-18T10:00:00+05:30,100,49.76,100,78.65,100,33.93,100,67.79
2026-04-19T10:00:00+05:30,100,48.13,100,76.28,100,34.3,100,67.21
2026-04-20T10:00:00+05:30,100,46.95,100,80.21,100,34.81,100,68.37
2026-04-21T10:00:00+05:30,100,50.46,100,77.01,100,34.69,100,63.54
2026-04-22T10:00:00+05:30,100,87.12,100,126.77,100,34.44,100,62.43
2026-04-23T10:00:00+05:30,100,73.72,100,119.2,100,34.49,100,64.02
2026-04-24T10:00:00+05:30,100,46.93,100,74.86,100,34.73,100,64.94
2026-04-25T10:00:00+05:30,100,47.39,100,78.11,100,35.6,100,64.1
2026-04-26T10:00:00+05:30,100,48.36,100,78.34,100,34.65,100,64.15
2026-04-27T10:00:00+05:30,100,41.38,100,74.34,100,35.73,100,61.91
2026-04-28T10:00:00+05:30,100,59.41,100,104.01,100,34.43,100,64.48
2026-04-29T10:00:00+05:30,100,53.85,100,102.53,100,36.09,100,62.49
2026-04-30T10:00:00+05:30,100,39.83,100,71.54,100,36.75,100,61.89
2026-05-01T10:00:00+05:30,100,43.06,100,70.42,100,36.68,100,61.76
2026-05-02T10:00:00+05:30,100,44.32,100,67.19,100,37.63,100,59.83
2026-05-03T10:00:00+05:30,100,37.55,100,67.81,100,37.4,100,56.2
